round,payload,prediction,result,confidence,internal_model_latency_ms,total_api_latency_ms
12,SELECT * FROM products WHERE id = 5,0,Benign,0.999338686466217,1.8309999995835824,4.8519000001761015
12,"SELECT name, price FROM products",0,Benign,0.9998451471328735,1.6506000001754728,4.953600000590086
12,UPDATE users SET name = 'John' WHERE id = 1,0,Benign,0.9938217997550964,2.4174999998649582,5.975799999760056
12,"INSERT INTO orders VALUES (1, 2, 50000)",0,Benign,0.9507285356521606,1.8350999998801854,5.019399999582674
13,' OR 1=1--,1,SQL Injection,0.9630976915359497,1.5997999998944579,4.587100000208011
13,"' UNION SELECT username, password FROM users--",0,Benign,0.9974633455276489,1.6976000006252434,4.98410000000149
13,admin' --,1,SQL Injection,0.955691933631897,1.7118999994636397,5.116599999382743
13,' OR 'a'='a,1,SQL Injection,0.9630976915359497,2.008399999795074,5.8119999994232785
13,SELECT * FROM products WHERE id = 5,0,Benign,0.999338686466217,1.662600000599923,4.791999999724794
13,"SELECT name, price FROM products",0,Benign,0.9998451471328735,2.020500000071479,5.787099999906786
13,UPDATE users SET name = 'John' WHERE id = 1,0,Benign,0.9938217997550964,1.6606999997748062,5.1536000000851345
13,"INSERT INTO orders VALUES (1, 2, 50000)",0,Benign,0.9507285356521606,1.7936000003828667,5.059300000539224
14,' OR 1=1--,1,SQL Injection,0.9630976915359497,1.580899999680696,4.577900000185764
14,"' UNION SELECT username, password FROM users--",0,Benign,0.9974633455276489,1.6738999993322068,5.038299999796436
14,admin' --,1,SQL Injection,0.955691933631897,1.7350000007354538,4.850000000260479
14,' OR 'a'='a,1,SQL Injection,0.9630976915359497,1.6779000006863498,4.746199999317469
14,SELECT * FROM products WHERE id = 5,0,Benign,0.999338686466217,1.6910000003917958,4.960700000083307
14,"SELECT name, price FROM products",0,Benign,0.9998451471328735,1.7603000005692593,5.035299999690324
14,UPDATE users SET name = 'John' WHERE id = 1,0,Benign,0.9938217997550964,1.8454999999448773,4.95260000025155
14,"INSERT INTO orders VALUES (1, 2, 50000)",0,Benign,0.9507285356521606,1.6857999999047024,4.814599999917846
15,' OR 1=1--,1,SQL Injection,0.9630976915359497,1.6247000003204448,4.811400000107824
15,"' UNION SELECT username, password FROM users--",0,Benign,0.9974633455276489,1.792600000044331,4.999099999622558
15,admin' --,1,SQL Injection,0.955691933631897,1.7698000001473702,4.848300000048766
15,' OR 'a'='a,1,SQL Injection,0.9630976915359497,1.6145999998116167,4.899100000329781
15,SELECT * FROM products WHERE id = 5,0,Benign,0.999338686466217,1.7267000002902932,4.866500000389351
15,"SELECT name, price FROM products",0,Benign,0.9998451471328735,1.8002000006163144,5.0952999999935855
15,UPDATE users SET name = 'John' WHERE id = 1,0,Benign,0.9938217997550964,1.6636000000289641,4.75430000005872
15,"INSERT INTO orders VALUES (1, 2, 50000)",0,Benign,0.9507285356521606,1.686199999312521,5.003799999940384
16,' OR 1=1--,1,SQL Injection,0.9630976915359497,1.7307999996774015,4.880399999819929
16,"' UNION SELECT username, password FROM users--",0,Benign,0.9974633455276489,1.7240999995919992,5.059899999650952
16,admin' --,1,SQL Injection,0.955691933631897,1.6064999999798601,4.7067000004972215
16,' OR 'a'='a,1,SQL Injection,0.9630976915359497,1.718599999549042,4.935299999488052
16,SELECT * FROM products WHERE id = 5,0,Benign,0.999338686466217,1.6720000003260793,4.883100000370177
16,"SELECT name, price FROM products",0,Benign,0.9998451471328735,1.7004999999699066,4.852099999880011
16,UPDATE users SET name = 'John' WHERE id = 1,0,Benign,0.9938217997550964,1.6955000000962173,5.039100000431063
16,"INSERT INTO orders VALUES (1, 2, 50000)",0,Benign,0.9507285356521606,1.7217000004166039,5.13779999982944
17,' OR 1=1--,1,SQL Injection,0.9630976915359497,1.6224000000875094,4.777400000421039
17,"' UNION SELECT username, password FROM users--",0,Benign,0.9974633455276489,1.6888999998627696,4.994200000510318
17,admin' --,1,SQL Injection,0.955691933631897,1.6369000004488043,4.885700000158977
17,' OR 'a'='a,1,SQL Injection,0.9630976915359497,1.6329999998561107,4.910099999506201
